ZT;Condition;PDF
0;Equinox;0.312872986
0;Equinox;1.262830705
0;Equinox;2.441754565
0;Equinox;2.901454922
0;Equinox;0.496291891
0;Equinox;0.591352147
0;Equinox;1.346573138
0;Equinox;1.53863697
0;Equinox;1.539395492
0;Equinox;1.731040915
0;Equinox;3.139143626
0;Equinox;1.40078053
0;Equinox;3.8740815
4;Equinox;0.816045007
4;Equinox;2.024760124
4;Equinox;2.205945286
4;Equinox;2.133300921
4;Equinox;1.682867441
4;Equinox;1.465625578
4;Equinox;0.949058786
4;Equinox;1.093409152
4;Equinox;2.18888344
4;Equinox;1.18412224
4;Equinox;0.904249723
4;Equinox;1.375677129
4;Equinox;1.312082418
8;Equinox;1.343201395
8;Equinox;1.148712782
8;Equinox;1.619367538
8;Equinox;0.406542699
8;Equinox;1.396205307
8;Equinox;1.286776635
8;Equinox;0.805974648
8;Equinox;1.646619005
8;Equinox;1.197488128
8;Equinox;0.545789456
8;Equinox;0.658781063
8;Equinox;0.873784063
8;Equinox;0.541911208
8;Equinox;0.712919944
8;Equinox;0.394381167
8;Equinox;1.130805499
8;Equinox;0.60244981
8;Equinox;0.493429431
8;Equinox;0.979519553
8;Equinox;0.624278109
8;Equinox;0.777943612
12;Equinox;0.685553141
12;Equinox;1.280127124
12;Equinox;0.629551183
12;Equinox;0.346543346
12;Equinox;0.529155085
12;Equinox;0.120963426
12;Equinox;0.320157364
12;Equinox;0.143338596
12;Equinox;0.489280806
12;Equinox;0.14009408
12;Equinox;0.200745237
12;Equinox;0.917577685
12;Equinox;0.525996931
12;Equinox;1.657608665
12;Equinox;0.416862774
12;Equinox;0.824356581
16;Equinox;0.424607847
16;Equinox;0.308068425
16;Equinox;0.454588305
16;Equinox;0.272399367
16;Equinox;0.131029976
16;Equinox;0.296921844
16;Equinox;0.323596765
16;Equinox;0.068455379
16;Equinox;1.216783797
16;Equinox;0.502129187
16;Equinox;0.586451117
16;Equinox;0.361252117
16;Equinox;0.658553507
16;Equinox;0.144750425
16;Equinox;0.525135642
16;Equinox;0.374651037
16;Equinox;0.480859991
16;Equinox;0.347531436
16;Equinox;0.105965493
16;Equinox;0.530059916
20;Equinox;0.274743993
20;Equinox;0.239151808
20;Equinox;0.325211097
20;Equinox;0.366415009
20;Equinox;0.33305214
20;Equinox;1.760736929
20;Equinox;0.967292574
20;Equinox;1.026446324
