ZT;Condition;Complexity
0;Equinox;0.730552598
0;Equinox;1.422721905
0;Equinox;0.854438447
0;Equinox;0.960155287
0;Equinox;2.116500351
0;Equinox;0.560184135
0;Equinox;1.567336047
0;Equinox;1.710655746
0;Equinox;1.638072464
0;Equinox;1.269498039
0;Equinox;1.674138328
0;Equinox;1.120430032
0;Equinox;1.850859954
0;Equinox;0.356491938
4;Equinox;1.028737448
4;Equinox;0.898946068
4;Equinox;0.805403442
4;Equinox;2.504060329
4;Equinox;1.343608476
4;Equinox;1.255001394
4;Equinox;0.995182848
4;Equinox;1.44451426
4;Equinox;0.930199893
4;Equinox;1.316519244
4;Equinox;0.699807225
4;Equinox;0.914605327
4;Equinox;0.818718658
8;Equinox;0.878566862
8;Equinox;0.871583582
8;Equinox;1.065536336
8;Equinox;1.297141128
8;Equinox;0.99128304
8;Equinox;0.493249604
8;Equinox;1.36780961
8;Equinox;1.042263961
8;Equinox;1.148341382
8;Equinox;0.646053414
8;Equinox;2.030968305
8;Equinox;0.789076466
8;Equinox;1.491542572
8;Equinox;0.427388452
8;Equinox;0.831811137
8;Equinox;0.882870221
8;Equinox;0.727044516
8;Equinox;1.172042504
8;Equinox;1.298010464
8;Equinox;0.900322348
8;Equinox;0.542002146
12;Equinox;0.58712158
12;Equinox;0.964752261
12;Equinox;1.085285711
12;Equinox;0.819977492
12;Equinox;0.716242975
12;Equinox;1.165392862
12;Equinox;0.804389932
12;Equinox;1.102871133
12;Equinox;1.339972455
12;Equinox;1.953278546
12;Equinox;1.183778371
12;Equinox;1.440576579
12;Equinox;1.532509511
12;Equinox;1.109239936
12;Equinox;0.651378799
12;Equinox;1.061613841
16;Equinox;0.822857006
16;Equinox;0.676041373
16;Equinox;1.218424326
16;Equinox;0.618549726
16;Equinox;0.989116174
16;Equinox;1.440209249
16;Equinox;0.571693147
16;Equinox;1.138282383
16;Equinox;2.374836637
16;Equinox;0.978484962
16;Equinox;0.739038196
16;Equinox;1.39082205
16;Equinox;0.484162256
16;Equinox;0.258432955
16;Equinox;1.070996411
16;Equinox;0.877901576
16;Equinox;0.75949295
16;Equinox;0.890933456
16;Equinox;0.778823363
16;Equinox;1.109040289
20;Equinox;0.549900882
20;Equinox;0.674100651
20;Equinox;1.301181173
20;Equinox;0.461193698
20;Equinox;0.628729783
20;Equinox;1.661382504
20;Equinox;0.752619949
20;Equinox;0.99189001
20;Equinox;0.455331139
20;Equinox;0.329042201
20;Equinox;1.087408915
20;Equinox;1.269356563
20;Equinox;0.820136955
20;Equinox;0.639644732
20;Equinox;0.837089976
20;Equinox;0.487293857
0;Winter;2.491556138
0;Winter;0.487960713
0;Winter;1.189135505
0;Winter;1.083176447
0;Winter;0.734189171
0;Winter;2.202670461
0;Winter;0.769714791
0;Winter;1.307642053
0;Winter;1.333630629
0;Winter;1.409192636
0;Winter;1.311086387
0;Winter;0.759452656
0;Winter;1.064737227
0;Winter;0.867612014
0;Winter;1.249174997
0;Winter;0.738978312
0;Winter;1.314684159
0;Winter;0.81644244
4;Winter;1.143234777
4;Winter;0.601666082
4;Winter;1.505875812
4;Winter;0.801388144
4;Winter;0.929958006
4;Winter;1.021301809
4;Winter;0.814076983
4;Winter;0.8878816
4;Winter;0.763728527
4;Winter;1.942144663
4;Winter;0.839477635
4;Winter;0.57673939
4;Winter;1.482600007
4;Winter;0.516416528
4;Winter;0.8753618
4;Winter;1.294005298
4;Winter;0.613592871
4;Winter;1.168668663
4;Winter;1.238530486
4;Winter;1.190774327
4;Winter;0.953086182
4;Winter;0.709565998
4;Winter;0.66871405
8;Winter;1.635097673
8;Winter;1.066260465
8;Winter;0.494997017
8;Winter;0.838672179
8;Winter;0.482868736
8;Winter;0.327948105
8;Winter;1.582056068
8;Winter;0.616252247
8;Winter;2.506937066
8;Winter;1.0508803
8;Winter;0.99107689
8;Winter;1.026736737
8;Winter;1.082695929
8;Winter;1.602406157
8;Winter;0.960887391
8;Winter;1.262627784
8;Winter;1.799553545
8;Winter;0.773125098
8;Winter;1.322503644
8;Winter;0.591561622
8;Winter;1.439294391
8;Winter;1.081204633
12;Winter;1.947732826
12;Winter;0.873771018
12;Winter;0.361505467
12;Winter;0.605016908
12;Winter;1.028501808
12;Winter;0.222934273
12;Winter;0.496926092
12;Winter;0.657349362
12;Winter;0.584762748
12;Winter;0.361849798
12;Winter;0.806058476
12;Winter;0.816529883
12;Winter;0.253634623
12;Winter;1.185823237
12;Winter;0.589559007
12;Winter;0.669307648
12;Winter;0.891580552
16;Winter;0.926049588
16;Winter;0.822016004
16;Winter;0.935327209
16;Winter;0.041616151
16;Winter;0.947315153
16;Winter;0.717001634
16;Winter;0.711474659
16;Winter;0.299284782
16;Winter;0.911894517
16;Winter;1.121198243
16;Winter;0.704278779
16;Winter;0.396336272
16;Winter;0.838393839
16;Winter;1.406038977
16;Winter;0.917293079
16;Winter;0.738639113
16;Winter;0.303692034
20;Winter;0.374096743
20;Winter;0.271223592
20;Winter;0.453436397
20;Winter;0.814468955
20;Winter;0.862998947
20;Winter;0.521521849
20;Winter;0.735536452
20;Winter;0.603174073
20;Winter;0.999737357
20;Winter;0.840295991
20;Winter;0.842115059
20;Winter;1.108515541
20;Winter;1.753079742
20;Winter;2.336145078
0;Summer;0.887407617
0;Summer;1.443959361
0;Summer;1.735203518
0;Summer;2.258741153
0;Summer;0.682520313
0;Summer;1.891435449
0;Summer;0.964236217
0;Summer;1.066952969
0;Summer;0.941008035
0;Summer;0.878909526
0;Summer;1.219507656
0;Summer;0.621763979
0;Summer;1.404859799
0;Summer;1.472394256
0;Summer;1.063095303
0;Summer;0.699302213
0;Summer;0.962145576
0;Summer;0.900195058
0;Summer;1.02083823
4;Summer;0.621003748
4;Summer;1.387365326
4;Summer;0.864591306
4;Summer;0.927943633
4;Summer;1.218322109
4;Summer;1.6042867
4;Summer;1.384581635
4;Summer;0.706387962
4;Summer;1.167359097
4;Summer;1.109121197
4;Summer;1.383900627
4;Summer;0.701795078
4;Summer;1.408718008
4;Summer;0.443542369
4;Summer;1.143936256
4;Summer;1.282130673
4;Summer;0.892242096
4;Summer;0.942815006
4;Summer;1.185335272
8;Summer;0.798505742
8;Summer;1.56650085
8;Summer;0.775846221
8;Summer;0.862384727
8;Summer;0.985388125
8;Summer;0.688724636
8;Summer;0.596092131
8;Summer;0.603635868
8;Summer;1.161230072
8;Summer;0.632226449
8;Summer;0.768493548
8;Summer;0.97622219
8;Summer;1.179046672
8;Summer;0.820957608
8;Summer;1.256764146
8;Summer;0.753157192
8;Summer;1.212790818
8;Summer;1.06062467
8;Summer;1.228916202
8;Summer;2.234806508
8;Summer;1.321402225
12;Summer;0.965554256
12;Summer;0.491618678
12;Summer;0.432567905
12;Summer;0.390886291
12;Summer;1.347051647
12;Summer;0.694486676
12;Summer;0.425995474
12;Summer;1.017496237
12;Summer;1.091926746
12;Summer;0.744415888
12;Summer;1.15321591
12;Summer;0.537569902
12;Summer;1.256614839
12;Summer;0.798357734
12;Summer;0.537239962
12;Summer;1.126271222
16;Summer;1.687737378
16;Summer;0.728662822
16;Summer;1.856285652
16;Summer;0.788285808
16;Summer;1.11274079
16;Summer;0.74166421
16;Summer;2.059518041
16;Summer;0.762179488
16;Summer;1.478998968
16;Summer;1.166059707
16;Summer;1.246357506
16;Summer;1.330276843
16;Summer;1.73854689
16;Summer;0.828996166
16;Summer;0.756141167
16;Summer;1.047501958
16;Summer;0.716323158
16;Summer;0.989276112
16;Summer;1.19799878
16;Summer;1.198989661
16;Summer;0.888216487
16;Summer;1.257411809
20;Summer;0.300226128
20;Summer;1.698533041
20;Summer;1.278892323
20;Summer;1.293877915
20;Summer;1.802960956
20;Summer;1.085277553
20;Summer;1.634428543
20;Summer;0.931856069
20;Summer;0.567920703
20;Summer;1.032474236
20;Summer;1.222973294
20;Summer;0.916248767
20;Summer;1.854366694
20;Summer;1.033284887
20;Summer;1.003359474
20;Summer;0.739091357
20;Summer;0.737147172
20;Summer;1.004410151
20;Summer;0.89303968
